Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,6447.41,77368.92,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,364.416,4372.99,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t3.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 tb_month), DT Outbound: Not selected (0 tb_month), DT Intra-Region: (0 tb_month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,372.3,4467.6,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c5.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 tb_month), DT Outbound: Not selected (0 tb_month), DT Intra-Region: (0 tb_month)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,456.75,5481,USD,,"Hosted Zones (1), Basic Checks Within AWS (50), Number of Elastic Network Interfaces (5)"
My Estimate,US East (N. Virginia),,S3 Standard,0,34.51,414.12,USD,,"S3 Standard storage (1 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000), Data returned by S3 Select (7000 GB per month), Data scanned by S3 Select (3000 GB per month), GET, SELECT, and all other requests from S3 Standard (10000)"
My Estimate,US East (N. Virginia),,VPN Connection,0,603.5,7242,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,483.63,5803.56,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,673.43,8081.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (150 GB per hour), Average number of new TCP connections (100 per second), Average TCP connection duration (10 seconds)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,3379.944,40559.33,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront), Total Size of Backup Processed for Export (GB) ( per month)"
,,,,,,,,,
,,,,,"Route 53 reduces number of Elastic Network Instances from 10 to 5, basic checks from 100 to 50",,,,
,,,,,Application Load Balancer reduces number of processed GB per month (EC2 and IP),,,,
,,,,,Network Load Balancer reduces number of processed GB per month (NLB for TCP),,,,
,,,,,RDS ricing strategy changed from on-demand to 1-yr prepaid reserved instances,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
